Anomes;BR_CAD_F;BR_PBF_F;BR_PBF_FV;SP_CAD_F;SP_PBF_F;SP_PBF_FV;;;
2018-01;23.426.757;12.436.457;;3.868.154;1.564.882;;;;
2018-02;23.651.349;12.497.668;0,5;3.915.457;1.583.160;1,2;;;
2018-03;22.913.242;12.564.170;0,5;3.785.046;1.600.868;1,1;;;
2018-04;23.195.047;12.249.285;-2,5;3.842.336;1.523.619;-4,8;;;
2018-05;23.547.867;12.380.654;1,1;3.917.587;1.538.775;1,0;;;
2018-06;23.787.713;12.205.547;-1,4;3.987.741;1.530.794;-0,5;;;
2018-07;23.964.057;12.251.137;0,4;4.051.974;1.517.281;-0,9;;;
2018-08;22.753.644;12.404.562;1,3;3.798.089;1.547.418;2,0;;;
2018-09;23.047.464;12.231.085;-1,4;3.877.723;1.506.945;-2,6;;;
2018-10;23.434.408;12.402.657;1,4;3.974.829;1.542.883;2,4;;;
2018-11;23.719.639;12.633.593;1,9;4.035.398;1.593.858;3,3;;;
2018-12;23.032.352;12.565.797;-0,5;3.881.379;1.576.967;-1,1;;;
2019-01;23.366.356;12.250.260;-2,5;3.946.853;1.510.626;-4,2;;;
2019-02;23.645.421;12.379.149;1,1;4.010.835;1.535.181;1,6;;;
2019-03;23.863.733;12.538.997;1,3;4.064.962;1.566.243;2,0;;;
2019-04;23.579.591;12.564.280;0,2;4.002.058;1.570.043;0,2;;;
2019-05;23.843.372;12.734.963;1,4;4.063.445;1.604.095;2,2;;;
2019-06;24.122.494;12.511.248;-1,8;4.128.169;1.561.120;-2,7;;;
2019-07;24.347.091;12.330.985;-1,4;4.176.175;1.510.317;-3,3;;;
2019-08;24.662.581;12.320.049;-0,1;4.250.722;1.506.667;-0,2;;;
2019-09;23.771.910;12.083.142;-1,9;4.024.633;1.453.995;-3,5;;;
2019-10;24.139.655;12.058.021;-0,2;4.100.624;1.447.737;-0,4;;;
2019-11;24.410.768;11.806.628;-2,1;4.153.633;1.382.939;-4,5;;;
2019-12;24.677.692;11.792.276;-0,1;4.206.308;1.378.331;-0,3;;;
2020-01;24.840.553;11.834.590;0,4;4.240.082;1.393.425;1,1;;;
2020-02;24.119.587;11.825.306;-0,1;4.055.016;1.391.574;-0,1;;;
2020-03;24.371.080;11.702.111;-1,0;4.113.649;1.356.117;-2,5;;;
2020-04;24.466.614;12.672.400;8,3;4.138.816;1.601.874;18,1;;;
2020-05;24.608.528;12.679.648;0,1;4.173.780;1.602.113;0,0;;;
2020-06;24.740.714;12.681.236;0,0;4.214.318;1.602.271;0,0;;;
2020-07;24.864.524;12.681.211;0,0;4.257.810;1.602.255;0,0;;;
2020-08;25.027.832;12.680.980;0,0;4.309.737;1.602.236;0,0;;;
2020-09;25.164.156;12.673.858;-0,1;4.347.624;1.600.228;-0,1;;;
2020-10;25.342.611;12.673.858;0,0;4.392.003;1.600.228;0,0;;;
2020-11;24.511.774;12.673.852;0,0;4.169.084;1.600.220;0,0;;;
2020-12;24.665.593;12.673.792;0,0;4.209.597;1.600.229;0,0;;;
2021-01; 24.808.642 ; 12.642.356 ;-0,2; 4.245.827 ; 1.590.349 ;-0,6;;;
2021-02; 25.044.977 ; 12.661.003 ;0,1; 4.291.992 ; 1.603.961 ;0,9;;;
2021-03; 25.256.361 ; 12.847.533 ;1,5; 4.336.010 ; 1.676.617 ;4,5;;;
2021-04; 25.478.994 ; 12.913.115 ;0,5; 4.368.855 ; 1.698.830 ;1,3;;;
2021-05; 30.087.195 ; 14.695.095 ;13,8; 4.404.149 ; 1.698.889 ;0,0;;;
2021-06; 30.323.524 ; 14.695.025 ;0,0; 4.442.631 ; 1.698.874 ;0,0;;;
2021-07; 30.646.963 ; 14.694.962 ;0,0; 4.498.235 ; 1.698.869 ;0,0;;;
2021-08; 30.905.999 ; 14.655.304 ;-0,3; 4.543.993 ; 1.690.603 ;-0,5;;;
2021-09; 31.159.533 ; 14.655.264 ;0,0; 4.587.967 ; 1.690.603 ;0,0;;;
2021-10; 31.450.267 ; 14.654.783 ;0,0; 4.637.223 ; 1.690.533 ;0,0;;;
2021-11; 32.166.847 ; 14.506.301 ;-1,0; 4.734.276 ; 1.666.915 ;-1,4;;;
2021-12; 32.553.506 ; 14.519.216 ;0,1; 4.787.257 ; 1.664.885 ;-0,1;;;
2022-01; 32.889.601 ; 17.566.127 ;21,0; 4.833.824 ; 2.143.332 ;28,7;;;
2022-02; 33.771.329 ; 18.017.489 ;2,6; 4.941.019 ; 2.225.382 ;3,8;;;
2022-03; 34.243.568 ; 18.021.825 ;0,0; 5.001.097 ; 2.175.017 ;-2,3;;;
2022-04; 35.086.638 ; 18.063.021 ;0,2; 5.109.361 ; 2.174.398 ;0,0;;;
2022-05; 35.754.647 ; 18.119.192 ;0,3; 5.194.021 ; 2.190.469 ;0,7;;;
2022-06; 36.362.548 ; 18.154.897 ;0,2; 5.279.068 ; 2.188.300 ;-0,1;;;
2022-07; 37.118.686 ; 18.134.548 ;-0,1; 5.383.569 ; 2.182.506 ;-0,3;;;
2022-08; 38.088.297 ; 20.200.862 ;11,4; 5.506.379 ; 2.449.494 ;12,2;;;
2022-09; 39.032.711 ; 20.653.849 ;2,2; 5.636.868 ; 2.483.656 ;1,4;;;
2022-10; 40.054.367 ; 21.130.969 ;2,3; 5.793.228 ; 2.561.418 ;3,1;;;
2022-11; 40.719.144 ; 21.534.293 ;1,9; 5.897.704 ; 2.627.104 ;2,6;;;
2022-12; 41.293.865 ; 21.601.182 ;0,3; 6.002.194 ; 2.621.692 ;-0,2;;;
2023-01; 41.519.690 ; 21.905.353 ;1,4; 6.048.519 ; 2.685.190 ;2,4;;;
2023-02; 41.951.403 ; 21.867.482 ;-0,2; 6.129.610 ; 2.677.837 ;-0,3;;;
2023-03; 42.288.619 ; 21.194.184 ;-3,1; 6.199.253 ; 2.552.898 ;-4,7;;;
2023-04; 41.827.355 ; 21.192.507 ;0,0; 6.114.994 ; 2.556.907 ;0,2;;;
2023-05; 41.902.786 ; 21.249.015 ;0,3; 6.131.939 ; 2.579.725 ;0,9;;;
2023-06; 42.208.065 ; 21.219.708 ;-0,1; 6.193.154 ; 2.575.285 ;-0,2;;;
2023-07; 42.533.652 ; 20.899.213 ;-1,5; 6.260.303 ; 2.531.474 ;-1,7;;;
2023-08; 42.818.208 ; 21.140.894 ;1,2; 6.315.847 ; 2.597.300 ;2,6;;;
2023-09; 43.122.529 ; 21.478.744 ;1,6; 6.377.724 ; 2.665.586 ;2,6;;;
2023-10; 43.333.790 ; 21.457.553 ;-0,1; 6.419.267 ; 2.683.462 ;0,7;;;
2023-11; 43.579.171 ; 21.186.317 ;-1,3; 6.465.523 ; 2.651.678 ;-1,2;;;
2023-12; 43.882.020 ; 21.064.289 ;-0,6; 6.518.658 ; 2.621.289 ;-1,1;;;
2024-01; 41.745.555 ; 21.120.268 ;0,3; 6.266.677 ; 2.628.525 ;0,3;;;
2024-02; 41.636.739 ; 21.066.533 ;-0,3; 6.260.194 ; 2.601.138 ;-1,0;;;
2024-03; 41.950.775 ; 20.895.154 ;-0,8; 6.308.456 ; 2.568.876 ;-1,2;;;
2024-04; 42.025.329 ; 20.889.512 ;0,0; 6.328.255 ; 2.572.486 ;0,1;;;
2024-05; 41.811.043 ; 20.838.023 ;-0,2; 6.298.897 ; 2.575.297 ;0,1;;;
2024-06; 41.920.523 ; 20.844.612 ;0,0; 6.320.514 ; 2.578.134 ;0,1;;;
2024-07; 40.436.548 ; 20.833.953 ;-0,1; 5.967.723 ; 2.537.494 ;-1,6;;;
2024-08; 40.811.422 ; 20.766.801 ;-0,3; 6.029.585 ; 2.517.221 ;-0,8;;;
2024-09; 40.444.723 ; 20.716.334 ;-0,2; 5.916.484 ; 2.502.658 ;-0,6;;;
2024-10; 40.776.532 ; 20.736.742 ;0,1; 5.978.198 ; 2.504.614 ;0,1;;;
2024-11; 41.112.462 ; 20.779.525 ;0,2; 6.032.733 ; 2.508.691 ;0,2;;;
2024-12; 41.539.082 ; 20.811.774 ;0,2; 6.096.305 ; 2.509.495 ;0,0;;;
2025-01; 40.652.068 ; 20.486.299 ;-1,6; 5.905.472 ; 2.446.993 ;-2,5;;;
2025-02; 40.640.792 ; 20.558.394 ;0,4; 5.883.503 ; 2.465.812 ;0,8;;;
2025-03; 40.820.923 ; 20.503.423 ;-0,3; 5.922.784 ; 2.465.500 ;0,0;;;
2025-04; 41.454.440 ; 20.488.545 ;-0,1; 6.046.235 ; 2.461.899 ;-0,1;;;
2025-05; 41.454.440 ; 20.461.958 ;-0,1; 6.046.235 ; 2.458.475 ;-0,1;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
