cod_ibge,localidade,ano,pib_setor_pc,renda_media_vinc,setor,razao_pib_renda
3510906,Cássia dos Coqueiros,2020,73469.29098196393,1893.7984168336675,agropecuaria,38.79467335536206
3510906,Cássia dos Coqueiros,2019,48557.02725450902,1909.5713742071882,agropecuaria,25.428233744166185
3510906,Cássia dos Coqueiros,2018,39486.713426853705,1598.0884817813765,agropecuaria,24.70871536652225
3504305,Avaí,2020,49407.08736762481,2004.423162675475,agropecuaria,24.649030348300776
3504305,Avaí,2019,33413.99583963691,1864.8343288324065,agropecuaria,17.917943338461484
3504305,Avaí,2018,31059.726361573375,1811.5313276595746,agropecuaria,17.14556402494087
3533809,Óleo,2020,32542.90819153146,2152.5993312101914,agropecuaria,15.117958887981182
3541802,Queiroz,2020,30860.201585849343,2200.553629006151,agropecuaria,14.023835265394972
3505807,Bastos,2019,27474.162455051475,1971.1768566278424,agropecuaria,13.937948978384636
3519055,Holambra,2020,31567.09839232733,2326.0375618409385,agropecuaria,13.57119029812382
3527306,Louveira,2020,71410.34623352946,3239.2349731509626,impostos_liq_sub,22.04543567398728
3527306,Louveira,2019,64619.54158034309,3333.6501315946884,impostos_liq_sub,19.38402022693114
3521408,Iracemápolis,2018,52255.911008708885,2807.902067114094,impostos_liq_sub,18.61030397773683
3509205,Cajamar,2020,55078.44472928234,3049.218945602362,impostos_liq_sub,18.063132137073154
3509205,Cajamar,2019,56228.046272559804,3187.3845059089163,impostos_liq_sub,17.64081056688383
3544905,Sales Oliveira,2018,36470.63162007293,2115.587145824678,impostos_liq_sub,17.23901172875405
3509205,Cajamar,2018,51295.62471820372,3199.35207394141,impostos_liq_sub,16.033129062601287
3527306,Louveira,2018,49072.68163172288,3339.1088502500734,impostos_liq_sub,14.696340800045412
3524709,Jaguariúna,2018,48559.72197710035,3379.941933558493,impostos_liq_sub,14.367028467253986
3524709,Jaguariúna,2019,50097.416934072346,3529.2394555241794,impostos_liq_sub,14.194961142593154
3520400,Ilhabela,2018,303273.3859276964,2641.3484917617234,industria,114.81763458081956
3520400,Ilhabela,2019,309557.8470271885,2855.257404145634,industria,108.41679162716895
3544905,Sales Oliveira,2018,192852.0665046015,2115.587145824678,industria,91.15770384841592
3520400,Ilhabela,2020,212576.80020914253,2989.0923368947488,industria,71.11750867822981
3521408,Iracemápolis,2018,166226.8897860827,2807.902067114094,industria,59.19967499326905
3541802,Queiroz,2020,127759.84263494967,2200.553629006151,industria,58.05804546224606
3516853,Gavião Peixoto,2020,235611.42689804774,5745.85104426186,industria,41.00548814841675
3544251,Rosana,2020,101339.15951487464,2566.603272652048,industria,39.483764629568874
3536505,Paulínia,2020,175597.1340289612,4525.639489089455,industria,38.80051304402305
3536505,Paulínia,2019,165084.63725163514,4330.672888947438,industria,38.119858388048016
3520400,Ilhabela,2018,430263.39501045714,2641.3484917617234,pib,162.89535301851842
3520400,Ilhabela,2019,447131.46011353453,2855.257404145634,pib,156.59935229108623
3544905,Sales Oliveira,2018,321329.07266886614,2115.587145824678,pib,151.8864743071639
3541802,Queiroz,2020,265117.08966148214,2200.553629006151,pib,120.47744993209665
3527306,Louveira,2020,369866.40685340186,3239.2349731509626,pib,114.18325929397295
3520400,Ilhabela,2020,321243.49157454434,2989.0923368947488,pib,107.47191968926315
3521408,Iracemápolis,2018,297906.5320875962,2807.902067114094,pib,106.0957700685689
3527306,Louveira,2019,329751.3579390072,3333.6501315946884,pib,98.91600645604252
3509205,Cajamar,2020,267930.56677444704,3049.218945602362,pib,87.86858915489204
3536505,Paulínia,2019,355742.27167569526,4330.672888947438,pib,82.14480308212744
3527306,Louveira,2020,197648.78080716002,3239.2349731509626,servicos,61.01711745069774
3509205,Cajamar,2020,175698.82016566402,3049.218945602362,servicos,57.62092630936194
3527306,Louveira,2019,173897.51493743266,3333.6501315946884,servicos,52.16429681366918
3509205,Cajamar,2019,160404.83503162558,3187.3845059089163,servicos,50.324908944703694
3520400,Ilhabela,2018,115840.64090230057,2641.3484917617234,servicos,43.85662901491553
3520400,Ilhabela,2019,125122.16892739767,2855.257404145634,servicos,43.82167742415413
3509205,Cajamar,2018,135280.73419042345,3199.35207394141,servicos,42.28379092513119
3527306,Louveira,2018,136267.63725449573,3339.1088502500734,servicos,40.809582246559685
3544905,Sales Oliveira,2018,82204.67060253516,2115.587145824678,servicos,38.856669537236634
3505708,Barueri,2020,122048.57702636257,3761.0628845157066,servicos,32.4505547431383
3542305,Redenção da Serra,2020,5555.464425332291,646.4609803921569,servicos_adm_publica,8.593657767189953
3532868,Nova Castilho,2019,11047.096088435374,1930.0201612903227,servicos_adm_publica,5.723824191064302
3507209,Borá,2020,14179.04433497537,2565.0483671171173,servicos_adm_publica,5.5277882930961395
3555901,Uru,2020,11826.002485501243,2141.386953125,servicos_adm_publica,5.522590145719879
3555901,Uru,2018,9625.350455675229,1922.732236421725,servicos_adm_publica,5.006079511928482
3507209,Borá,2019,11709.283251231527,2471.625555555556,servicos_adm_publica,4.7374826760923305
3536570,Paulistânia,2020,9657.83267382702,2083.5405367231638,servicos_adm_publica,4.635298667630502
3510906,Cássia dos Coqueiros,2020,8508.585971943889,1893.7984168336675,servicos_adm_publica,4.492867823899548
3546108,Santa Clara d'Oeste,2020,9977.814057826521,2243.6863951473138,servicos_adm_publica,4.447062690849631
3546256,Santa Cruz da Esperança,2020,8648.557053442466,1962.8509592326138,servicos_adm_publica,4.406120094224404
